wsj_section	wsj_doc	DcOffset	Label1	Label2	DcRaw	PBRole	PBVerb	Offset	INDEX	Conn
14	wsj_1424	2806..2812	Contingency.Cause.Reason		due to			2806..2812	PDTB3::wsj_1424::2806..2812::ADDED	due to
14	wsj_1424	2886..2896	Temporal.Synchronous		as long as			2886..2896	PDTB2::wsj_1424::2886..2896::SAME	As long as
14	wsj_1424	3124..3127	Comparison.Concession.Arg2-as-denier		but			3124..3127	PDTB2::wsj_1424::3124..3127::CHANGED	But
14	wsj_1424	3936..3947	Contingency.Cause.Result		as a result			3936..3947	PDTB2::wsj_1424::3936..3947::SAME	As a result
14	wsj_1424	4046..4053	Contingency.Cause.Result		thereby			4046..4053	PDTB2::wsj_1424::4046..4053::SAME	thereby
14	wsj_1424	4340..4345	Comparison.Concession.Arg1-as-denier		while			4340..4345	PDTB2::wsj_1424::4340..4345::SAME	While
14	wsj_1424	4702..4711	Contingency.Cause.Result		therefore			4702..4711	PDTB2::wsj_1424::4702..4711::SAME	therefore
14	wsj_1424	4740..4744;4790..4793	Expansion.Conjunction		both and			4740..4793	PDTB3::wsj_1424::4740..4793::ADDED	both###and
14	wsj_1424	5162..5165	Comparison.Concession.Arg2-as-denier		but			5162..5165	PDTB2::wsj_1424::5162..5165::CHANGED	But
14	wsj_1424	5186..5193	Contingency.Cause.Reason		because			5186..5193	PDTB2::wsj_1424::5186..5193::SAME	Because
14	wsj_1424	5247..5251	Temporal.Synchronous		when			5247..5251	PDTB2::wsj_1424::5247..5251::SAME	when
14	wsj_1424	5616..5623	Comparison.Concession.Arg2-as-denier		however			5616..5623	PDTB2::wsj_1424::5616..5623::CHANGED	however
14	wsj_1424	5737..5739	Expansion.Conjunction		or			5737..5739	PDTB2::wsj_1424::5737..5739::CHANGED	or
14	wsj_1424	5769..5772	Comparison.Concession.Arg2-as-denier		but			5769..5772	PDTB2::wsj_1424::5769..5772::CHANGED	But
14	wsj_1424	5874..5879	Temporal.Synchronous		while			5874..5879	PDTB2::wsj_1424::5874..5879::CHANGED	While
14	wsj_1424	6107..6112	Temporal.Synchronous	Expansion.Conjunction	while			6107..6112	PDTB2::wsj_1424::6107..6112::SAME	while
14	wsj_1424	6568..6571	Comparison.Concession.Arg2-as-denier		but			6568..6571	PDTB2::wsj_1424::6568..6571::CHANGED	But
14	wsj_1424	6662..6665	Contingency.Cause.Reason		for	ARGM-CAU	loathe	6662..6665	PDTB3::wsj_1424::6662..6665::ADDED	for
14	wsj_1424	6935..6938	Expansion.Conjunction		and			6935..6938	PDTB2::wsj_1424::6935..6938::SAME	and
14	wsj_1453	76..79	Comparison.Concession.Arg2-as-denier		but			76..79	PDTB2::wsj_1453::76..79::SAME	but
14	wsj_1453	496..499	Comparison.Concession.Arg2-as-denier		but			496..499	PDTB2::wsj_1453::496..499::CHANGED	But
14	wsj_1453	970..973	Comparison.Concession.Arg2-as-denier		but			970..973	PDTB2::wsj_1453::970..973::SAME	But
14	wsj_1453	1041..1045	Temporal.Synchronous	Contingency.Condition.Arg2-as-cond	when			1041..1045	PDTB2::wsj_1453::1041..1045::SAME	when
14	wsj_1453	1103..1107	Temporal.Synchronous		when			1103..1107	PDTB2::wsj_1453::1103..1107::SAME	when
14	wsj_1453	1291..1295	Contingency.Condition.Arg2-as-cond		when			1291..1295	PDTB2::wsj_1453::1291..1295::SAME	when
14	wsj_1453	1314..1318	Contingency.Condition.Arg2-as-cond		when			1314..1318	PDTB2::wsj_1453::1314..1318::SAME	when
14	wsj_1453	1522..1525	Comparison.Concession.Arg2-as-denier		but			1522..1525	PDTB2::wsj_1453::1522..1525::SAME	But
14	wsj_1453	1692..1704	Expansion.Instantiation.Arg2-as-instance		for instance			1692..1704	PDTB2::wsj_1453::1692..1704::CHANGED	for instance
14	wsj_1453	2109..2111	Expansion.Manner.Arg2-as-manner		by	ARGM-MNR	take	2109..2111	PDTB3::wsj_1453::2109..2111::ADDED	by
14	wsj_1453	2371..2375	Contingency.Cause.Reason		with	ARGM-ADV	decline	2371..2375	PDTB3::wsj_1453::2371..2375::ADDED	With
14	wsj_1453	2574..2578	Expansion.Conjunction		also			2574..2578	PDTB2::wsj_1453::2574..2578::SAME	also
14	wsj_1453	2490..2493	Comparison.Concession.Arg2-as-denier		but			2490..2493	PDTB2::wsj_1453::2490..2493::CHANGED	But
14	wsj_1453	2494..2499	Comparison.Concession.Arg1-as-denier		while			2494..2499	PDTB2::wsj_1453::2494..2499::SAME	while
14	wsj_1453	2544..2548	Temporal.Synchronous		when			2544..2548	PDTB2::wsj_1453::2544..2548::SAME	when
14	wsj_1453	2753..2756	Expansion.Conjunction		and			2753..2756	PDTB2::wsj_1453::2753..2756::SAME	And
14	wsj_1453	2835..2839	Contingency.Cause.Result		thus			2835..2839	PDTB2::wsj_1453::2835..2839::SAME	Thus
14	wsj_1453	2985..2998	Comparison.Contrast		by comparison			2985..2998	PDTB2::wsj_1453::2985..2998::SAME	By comparison
14	wsj_1453	3083..3088	Temporal.Synchronous	Comparison.Contrast	while			3083..3088	PDTB2::wsj_1453::3083..3088::CHANGED	while
14	wsj_1453	3175..3180	Temporal.Synchronous	Comparison.Contrast	while			3175..3180	PDTB2::wsj_1453::3175..3180::CHANGED	while
14	wsj_1453	3384..3395	Expansion.Instantiation.Arg2-as-instance		for example			3384..3395	PDTB2::wsj_1453::3384..3395::CHANGED	for example
14	wsj_1453	3660..3672	Expansion.Instantiation.Arg2-as-instance		for instance			3660..3672	PDTB2::wsj_1453::3660..3672::CHANGED	for instance
14	wsj_1453	3834..3838	Temporal.Asynchronous.Succession		when			3834..3838	PDTB2::wsj_1453::3834..3838::SAME	when
14	wsj_1453	4769..4772	Expansion.Conjunction		and			4769..4772	PDTB2::wsj_1453::4769..4772::SAME	and
14	wsj_1453	4953..4957	Temporal.Synchronous		when			4953..4957	PDTB2::wsj_1453::4953..4957::SAME	when
14	wsj_1453	5373..5380	Contingency.Cause.Reason		because			5373..5380	PDTB2::wsj_1453::5373..5380::SAME	Because
14	wsj_1453	5484..5488	Temporal.Synchronous		when			5484..5488	PDTB2::wsj_1453::5484..5488::SAME	when
14	wsj_1453	5531..5534	Comparison.Contrast		but			5531..5534	PDTB2::wsj_1453::5531..5534::CHANGED	But
14	wsj_1453	5535..5539	Temporal.Synchronous		when			5535..5539	PDTB2::wsj_1453::5535..5539::SAME	when
14	wsj_1453	5591..5593	Comparison.Similarity		as	ARGM-ADV	decline	5591..5593	PDTB3::wsj_1453::5591..5593::ADDED	as
14	wsj_1453	5966..5973	Comparison.Concession.Arg2-as-denier		however			5966..5973	PDTB2::wsj_1453::5966..5973::CHANGED	however
14	wsj_1453	6627..6630	Comparison.Concession.Arg2-as-denier		but			6627..6630	PDTB2::wsj_1453::6627..6630::CHANGED	But
14	wsj_1453	7052..7059	Expansion.Conjunction		in fact			7052..7059	PDTB2::wsj_1453::7052..7059::SAME	in fact
14	wsj_1472	375..378	Expansion.Conjunction		and			375..378	PDTB2::wsj_1472::375..378::SAME	and
14	wsj_1472	601..605	Expansion.Conjunction		also			601..605	PDTB2::wsj_1472::601..605::SAME	also
14	wsj_1472	876..879	Expansion.Conjunction		and			876..879	PDTB3::wsj_1472::876..879::ADDED	and
14	wsj_1405	9..13	Temporal.Synchronous		with	ARGM-ADV	be	9..13	PDTB3::wsj_1405::9..13::ADDED	With
14	wsj_1405	204..207	Expansion.Conjunction		and			204..207	PDTB2::wsj_1405::204..207::CHANGED	and
14	wsj_1405	682..685	Expansion.Conjunction		and			682..685	PDTB3::wsj_1405::682..685::ADDED	and
14	wsj_1405	735..737	Contingency.Cause.Result		so			735..737	PDTB2::wsj_1405::735..737::SAME	So
14	wsj_1405	910..913	Expansion.Conjunction		and			910..913	PDTB3::wsj_1405::910..913::ADDED	and
14	wsj_1405	1088..1090	Temporal.Synchronous		in	ARGM-MNR	serve	1088..1090	PDTB3::wsj_1405::1088..1090::ADDED	in
14	wsj_1405	1141..1145	Temporal.Asynchronous.Precedence		then			1141..1145	PDTB2::wsj_1405::1141..1145::SAME	then
14	wsj_1405	1137..1140	Expansion.Conjunction		and			1137..1140	PDTB3::wsj_1405::1137..1140::ADDED	and
14	wsj_1405	1276..1279	Expansion.Conjunction		and			1276..1279	PDTB3::wsj_1405::1276..1279::ADDED	and
14	wsj_1405	1380..1391	Expansion.Substitution.Arg1-as-subst		rather than			1380..1391	PDTB3::wsj_1405::1380..1391::ADDED	rather than
14	wsj_1405	1505..1512	Comparison.Concession.Arg2-as-denier		however			1505..1512	PDTB2::wsj_1405::1505..1512::CHANGED	However
14	wsj_1405	1881..1884	Comparison.Concession.Arg2-as-denier		but			1881..1884	PDTB3::wsj_1405::1881..1884::ADDED	but
14	wsj_1405	2403..2410	Contingency.Cause.Reason		because			2403..2410	PDTB2::wsj_1405::2403..2410::SAME	because
14	wsj_1405	2839..2843	Expansion.Conjunction		also			2839..2843	PDTB2::wsj_1405::2839..2843::SAME	also
14	wsj_1405	2875..2878	Comparison.Concession.Arg2-as-denier		but			2875..2878	PDTB2::wsj_1405::2875..2878::CHANGED	But
14	wsj_1405	3308..3311	Comparison.Concession.Arg2-as-denier		but			3308..3311	PDTB2::wsj_1405::3308..3311::CHANGED	But
14	wsj_1405	3869..3872	Expansion.Conjunction		and			3869..3872	PDTB2::wsj_1405::3869..3872::SAME	and
14	wsj_1405	3986..3989	Comparison.Contrast		but			3986..3989	PDTB2::wsj_1405::3986..3989::CHANGED	But
14	wsj_1405	4121..4130	Contingency.Cause.Result		therefore			4121..4130	PDTB2::wsj_1405::4121..4130::SAME	therefore
14	wsj_1405	4432..4435	Comparison.Concession.Arg2-as-denier		but			4432..4435	PDTB2::wsj_1405::4432..4435::CHANGED	But
14	wsj_1405	4436..4443	Comparison.Similarity		as	ARGM-ADV	have	4436..4443	PDTB3::wsj_1405::4436..4443::ADDED	just as
14	wsj_1478	575..581	Expansion.Level-of-detail.Arg2-as-detail		indeed			575..581	PDTB2::wsj_1478::575..581::CHANGED	Indeed
14	wsj_1478	601..607	Temporal.Asynchronous.Precedence		before			601..607	PDTB2::wsj_1478::601..607::SAME	before
14	wsj_1478	817..820	Expansion.Conjunction		and			817..820	PDTB2::wsj_1478::817..820::SAME	and
14	wsj_1478	1020..1027	Comparison.Concession.Arg2-as-denier		however			1020..1027	PDTB2::wsj_1478::1020..1027::CHANGED	However
14	wsj_1496	575..578	Expansion.Conjunction		and			575..578	PDTB3::wsj_1496::575..578::ADDED	and
14	wsj_1440	9..11	Contingency.Condition.Arg2-as-cond		if			9..11	PDTB2::wsj_1440::9..11::SAME	If
14	wsj_1440	809..812	Expansion.Conjunction		and			809..812	PDTB2::wsj_1440::809..812::SAME	and
14	wsj_1440	1268..1272	Expansion.Conjunction		also			1268..1272	PDTB2::wsj_1440::1268..1272::SAME	also
14	wsj_1440	1256..1262	Comparison.Concession.Arg2-as-denier		though			1256..1262	PDTB2::wsj_1440::1256..1262::SAME	though
14	wsj_1440	1312..1317	Comparison.Contrast		while			1312..1317	PDTB2::wsj_1440::1312..1317::CHANGED	While
14	wsj_1440	1432..1439	Contingency.Cause.Reason		because			1432..1439	PDTB2::wsj_1440::1432..1439::SAME	because
14	wsj_1440	1683..1686	Comparison.Concession.Arg2-as-denier		but			1683..1686	PDTB2::wsj_1440::1683..1686::CHANGED	but
14	wsj_1440	2082..2084	Contingency.Condition.Arg2-as-cond		if			2082..2084	PDTB2::wsj_1440::2082..2084::SAME	If
14	wsj_1440	2680..2693	Comparison.Contrast		by comparison			2680..2693	PDTB2::wsj_1440::2680..2693::SAME	by comparison
14	wsj_1440	2723..2734	Expansion.Conjunction		in addition			2723..2734	PDTB2::wsj_1440::2723..2734::SAME	In addition
14	wsj_1440	2902..2906	Expansion.Conjunction		also			2902..2906	PDTB2::wsj_1440::2902..2906::SAME	Also
14	wsj_1440	2960..2962	Contingency.Cause.Result		so			2960..2962	PDTB2::wsj_1440::2960..2962::CHANGED	so
14	wsj_1440	2956..2959	Expansion.Conjunction		and			2956..2959	PDTB3::wsj_1440::2956..2959::ADDED	and
14	wsj_1440	3017..3028	Contingency.Cause.Result		as a result			3017..3028	PDTB2::wsj_1440::3017..3028::SAME	As a result
14	wsj_1440	3153..3158	Temporal.Synchronous	Comparison.Contrast	while			3153..3158	PDTB2::wsj_1440::3153..3158::CHANGED	while
14	wsj_1440	3207..3210	Expansion.Conjunction		and			3207..3210	PDTB2::wsj_1440::3207..3210::CHANGED	and
14	wsj_1440	3285..3288	Comparison.Concession.Arg2-as-denier		but			3285..3288	PDTB2::wsj_1440::3285..3288::SAME	but
14	wsj_1440	3419..3426	Contingency.Cause.Reason		because			3419..3426	PDTB2::wsj_1440::3419..3426::SAME	because
14	wsj_1440	3752..3759	Comparison.Concession.Arg2-as-denier		however			3752..3759	PDTB2::wsj_1440::3752..3759::CHANGED	However
14	wsj_1440	4201..4205	Expansion.Conjunction		also			4201..4205	PDTB2::wsj_1440::4201..4205::SAME	also
14	wsj_1440	4541..4543	Contingency.Cause.Result		so			4541..4543	PDTB2::wsj_1440::4541..4543::SAME	so
14	wsj_1440	5298..5303	Temporal.Asynchronous.Succession		after			5298..5303	PDTB2::wsj_1440::5298..5303::SAME	after
14	wsj_1440	5441..5446	Temporal.Asynchronous.Succession		after			5441..5446	PDTB2::wsj_1440::5441..5446::SAME	after
14	wsj_1440	5671..5676	Temporal.Asynchronous.Succession		after			5671..5676	PDTB2::wsj_1440::5671..5676::SAME	after
14	wsj_1440	5768..5777	Temporal.Synchronous	Comparison.Contrast	meanwhile			5768..5777	PDTB2::wsj_1440::5768..5777::SAME	meanwhile
14	wsj_1440	5964..5967	Expansion.Conjunction		and			5964..5967	PDTB3::wsj_1440::5964..5967::ADDED	and
14	wsj_1440	6509..6514	Temporal.Asynchronous.Succession	Contingency.Cause.Reason	after			6509..6514	PDTB2::wsj_1440::6509..6514::SAME	after
14	wsj_1440	6723..6728	Temporal.Asynchronous.Succession	Contingency.Cause.Reason	after			6723..6728	PDTB2::wsj_1440::6723..6728::SAME	after
14	wsj_1440	6918..6929	Contingency.Cause.Result		as a result			6918..6929	PDTB2::wsj_1440::6918..6929::SAME	As a result
14	wsj_1440	7085..7088	Expansion.Conjunction		and			7085..7088	PDTB2::wsj_1440::7085..7088::SAME	and
14	wsj_1440	7287..7294	Temporal.Asynchronous.Succession		earlier			7287..7294	PDTB2::wsj_1440::7287..7294::SAME	earlier
14	wsj_1447	753..757	Expansion.Conjunction		also			753..757	PDTB2::wsj_1447::753..757::SAME	Also
14	wsj_1447	805..808	Comparison.Concession.Arg2-as-denier		but			805..808	PDTB2::wsj_1447::805..808::CHANGED	but
14	wsj_1447	1123..1126	Comparison.Concession.Arg2-as-denier		but			1123..1126	PDTB2::wsj_1447::1123..1126::CHANGED	But
14	wsj_1447	1228..1231	Expansion.Conjunction		and			1228..1231	PDTB2::wsj_1447::1228..1231::CHANGED	and
14	wsj_1447	1974..1977	Expansion.Conjunction		and			1974..1977	PDTB2::wsj_1447::1974..1977::SAME	and
14	wsj_1447	2425..2432	Comparison.Concession.Arg2-as-denier		however			2425..2432	PDTB2::wsj_1447::2425..2432::SAME	however
14	wsj_1447	2513..2516	Expansion.Conjunction		and			2513..2516	PDTB3::wsj_1447::2513..2516::ADDED	and
14	wsj_1447	2626..2631	Comparison.Contrast		while			2626..2631	PDTB2::wsj_1447::2626..2631::CHANGED	While
14	wsj_1475	387..390	Expansion.Conjunction		and			387..390	PDTB2::wsj_1475::387..390::SAME	and
14	wsj_1475	518..521	Expansion.Conjunction		and			518..521	PDTB2::wsj_1475::518..521::SAME	and
14	wsj_1491	502..506	Expansion.Conjunction		also			502..506	PDTB2::wsj_1491::502..506::SAME	also
14	wsj_1429	824..835	Expansion.Substitution.Arg1-as-subst		rather than	ARGM-ADV	say	824..835	PDTB3::wsj_1429::824..835::ADDED	Rather than
14	wsj_1429	1100..1104	Temporal.Asynchronous.Succession		when			1100..1104	PDTB2::wsj_1429::1100..1104::SAME	when
14	wsj_1429	1179..1182	Comparison.Contrast		but			1179..1182	PDTB2::wsj_1429::1179..1182::SAME	But
14	wsj_1429	1297..1305	Comparison.Concession.Arg1-as-denier		although			1297..1305	PDTB2::wsj_1429::1297..1305::SAME	Although
14	wsj_1429	1550..1558	Comparison.Concession.Arg1-as-denier		although			1550..1558	PDTB2::wsj_1429::1550..1558::SAME	Although
14	wsj_1429	1810..1813	Expansion.Conjunction		and			1810..1813	PDTB2::wsj_1429::1810..1813::SAME	and
14	wsj_1429	2792..2794	Expansion.Disjunction		or			2792..2794	PDTB3::wsj_1429::2792..2794::ADDED	or
14	wsj_1454	391..394	Comparison.Concession.Arg2-as-denier		but			391..394	PDTB2::wsj_1454::391..394::CHANGED	But
14	wsj_1423	9..13	Temporal.Synchronous		when			9..13	PDTB2::wsj_1423::9..13::SAME	When
14	wsj_1423	193..196	Comparison.Concession.Arg2-as-denier		but			193..196	PDTB2::wsj_1423::193..196::SAME	But
14	wsj_1423	531..534	Expansion.Conjunction		and			531..534	PDTB2::wsj_1423::531..534::SAME	and
14	wsj_1423	645..652	Contingency.Cause.Reason		because			645..652	PDTB2::wsj_1423::645..652::SAME	because
14	wsj_1423	781..784	Expansion.Conjunction		and			781..784	PDTB2::wsj_1423::781..784::SAME	and
14	wsj_1423	1076..1079	Comparison.Concession.Arg2-as-denier		but			1076..1079	PDTB2::wsj_1423::1076..1079::CHANGED	But
14	wsj_1423	1179..1186	Contingency.Cause.Reason		because			1179..1186	PDTB2::wsj_1423::1179..1186::SAME	because
14	wsj_1423	2255..2261	Temporal.Asynchronous.Precedence		before			2255..2261	PDTB2::wsj_1423::2255..2261::SAME	before
14	wsj_1423	2385..2389	Expansion.Conjunction		also			2385..2389	PDTB2::wsj_1423::2385..2389::SAME	also
14	wsj_1423	2309..2313	Temporal.Synchronous		when			2309..2313	PDTB2::wsj_1423::2309..2313::SAME	when
14	wsj_1423	2535..2538	Expansion.Conjunction		and			2535..2538	PDTB2::wsj_1423::2535..2538::SAME	and
14	wsj_1423	2840..2842	Contingency.Condition.Arg2-as-cond		if			2840..2842	PDTB2::wsj_1423::2840..2842::SAME	if
14	wsj_1423	3001..3004	Expansion.Conjunction		and			3001..3004	PDTB2::wsj_1423::3001..3004::SAME	and
14	wsj_1423	3044..3046	Contingency.Condition.Arg2-as-cond		if			3044..3046	PDTB2::wsj_1423::3044..3046::SAME	if
14	wsj_1423	3492..3499	Contingency.Cause.Reason		because			3492..3499	PDTB2::wsj_1423::3492..3499::SAME	because
14	wsj_1423	3692..3697	Comparison.Contrast		while			3692..3697	PDTB2::wsj_1423::3692..3697::CHANGED	while
14	wsj_1423	3791..3794	Comparison.Concession.Arg2-as-denier		but			3791..3794	PDTB2::wsj_1423::3791..3794::CHANGED	but
14	wsj_1423	3859..3862	Expansion.Conjunction		and			3859..3862	PDTB2::wsj_1423::3859..3862::SAME	And
14	wsj_1411	216..218	Temporal.Synchronous		as			216..218	PDTB2::wsj_1411::216..218::SAME	as
14	wsj_1411	397..404	Expansion.Level-of-detail.Arg2-as-detail		in fact			397..404	PDTB3::wsj_1411::397..404::ADDED	in fact
14	wsj_1411	644..647	Expansion.Conjunction		and			644..647	PDTB3::wsj_1411::644..647::ADDED	and
14	wsj_1411	2090..2093	Expansion.Conjunction		and			2090..2093	PDTB2::wsj_1411::2090..2093::SAME	and
14	wsj_1411	2322..2325	Expansion.Conjunction		and			2322..2325	PDTB3::wsj_1411::2322..2325::ADDED	and
14	wsj_1411	2492..2505	Temporal.Asynchronous.Succession		after			2492..2505	PDTB2::wsj_1411::2492..2505::SAME	Shortly after
14	wsj_1411	3204..3207	Expansion.Conjunction		and			3204..3207	PDTB3::wsj_1411::3204..3207::ADDED	and
14	wsj_1411	3650..3653	Expansion.Conjunction		and			3650..3653	PDTB3::wsj_1411::3650..3653::ADDED	and
14	wsj_1411	3744..3748	Contingency.Cause.Reason		with	ARGM-ADV	see	3744..3748	PDTB3::wsj_1411::3744..3748::ADDED	With
14	wsj_1411	3931..3935	Temporal.Asynchronous.Succession		when			3931..3935	PDTB2::wsj_1411::3931..3935::SAME	When
14	wsj_1411	4065..4068	Expansion.Conjunction		and			4065..4068	PDTB2::wsj_1411::4065..4068::SAME	And
14	wsj_1411	4152..4157	Temporal.Asynchronous.Succession	Contingency.Cause.Reason	after			4152..4157	PDTB2::wsj_1411::4152..4157::SAME	After
14	wsj_1411	4525..4528	Expansion.Conjunction		and			4525..4528	PDTB3::wsj_1411::4525..4528::ADDED	and
14	wsj_1411	4749..4751	Contingency.Cause.Result		so			4749..4751	PDTB2::wsj_1411::4749..4751::SAME	So
14	wsj_1411	4819..4823	Temporal.Synchronous		when			4819..4823	PDTB2::wsj_1411::4819..4823::SAME	when
14	wsj_1411	5340..5347	Expansion.Level-of-detail.Arg2-as-detail		in fact			5340..5347	PDTB2::wsj_1411::5340..5347::SAME	In fact
14	wsj_1411	5794..5797	Comparison.Concession.Arg2-as-denier		but			5794..5797	PDTB2::wsj_1411::5794..5797::CHANGED	But
14	wsj_1411	5877..5880	Expansion.Conjunction		and			5877..5880	PDTB2::wsj_1411::5877..5880::CHANGED	and
14	wsj_1411	5994..5997	Expansion.Conjunction		and			5994..5997	PDTB3::wsj_1411::5994..5997::ADDED	and
14	wsj_1411	6058..6060	Contingency.Condition.Arg2-as-cond		if			6058..6060	PDTB2::wsj_1411::6058..6060::SAME	If
14	wsj_1411	6125..6129	Expansion.Conjunction		also			6125..6129	PDTB2::wsj_1411::6125..6129::SAME	also
14	wsj_1411	6347..6350	Expansion.Conjunction		and			6347..6350	PDTB3::wsj_1411::6347..6350::ADDED	and
14	wsj_1411	6591..6594	Expansion.Conjunction		and			6591..6594	PDTB3::wsj_1411::6591..6594::ADDED	and
14	wsj_1411	6741..6745	Temporal.Synchronous		when			6741..6745	PDTB2::wsj_1411::6741..6745::SAME	When
14	wsj_1411	7059..7071	Expansion.Conjunction		additionally			7059..7071	PDTB2::wsj_1411::7059..7071::SAME	additionally
14	wsj_1411	7242..7246	Expansion.Conjunction		also			7242..7246	PDTB2::wsj_1411::7242..7246::SAME	also
14	wsj_1411	7567..7570	Expansion.Conjunction		and			7567..7570	PDTB3::wsj_1411::7567..7570::ADDED	and
14	wsj_1411	7612..7619	Expansion.Conjunction		besides			7612..7619	PDTB2::wsj_1411::7612..7619::SAME	Besides
14	wsj_1411	8187..8190	Comparison.Concession.Arg2-as-denier		but			8187..8190	PDTB2::wsj_1411::8187..8190::CHANGED	but
14	wsj_1411	8369..8378	Temporal.Synchronous	Comparison.Contrast	meanwhile			8369..8378	PDTB2::wsj_1411::8369..8378::SAME	meanwhile
14	wsj_1411	8465..8468	Expansion.Conjunction		and			8465..8468	PDTB2::wsj_1411::8465..8468::SAME	and
14	wsj_1411	8681..8684	Expansion.Conjunction		and			8681..8684	PDTB3::wsj_1411::8681..8684::ADDED	and
14	wsj_1411	8865..8876	Expansion.Instantiation.Arg2-as-instance		for example			8865..8876	PDTB2::wsj_1411::8865..8876::CHANGED	for example
14	wsj_1411	9133..9136	Expansion.Conjunction		and			9133..9136	PDTB2::wsj_1411::9133..9136::CHANGED	and
14	wsj_1411	9179..9183	Temporal.Synchronous		when			9179..9183	PDTB2::wsj_1411::9179..9183::SAME	When
14	wsj_1411	9267..9271	Expansion.Conjunction		also			9267..9271	PDTB2::wsj_1411::9267..9271::SAME	also
14	wsj_1411	9388..9391	Expansion.Conjunction		and			9388..9391	PDTB2::wsj_1411::9388..9391::SAME	And
14	wsj_1411	9705..9709	Expansion.Conjunction		also			9705..9709	PDTB2::wsj_1411::9705..9709::SAME	also
14	wsj_1411	10034..10037	Expansion.Conjunction		and			10034..10037	PDTB2::wsj_1411::10034..10037::CHANGED	and
14	wsj_1411	10499..10502	Expansion.Conjunction		and			10499..10502	PDTB2::wsj_1411::10499..10502::CHANGED	and
14	wsj_1411	10594..10597	Expansion.Conjunction		and			10594..10597	PDTB3::wsj_1411::10594..10597::ADDED	and
14	wsj_1411	10903..10907	Temporal.Synchronous		when			10903..10907	PDTB2::wsj_1411::10903..10907::SAME	When
14	wsj_1411	11005..11007	Contingency.Purpose.Arg1-as-goal	Expansion.Manner.Arg2-as-manner	by	ARGM-MNR	make	11005..11007	PDTB3::wsj_1411::11005..11007::ADDED	by
14	wsj_1411	11037..11042	Comparison.Concession.Arg1-as-denier		while			11037..11042	PDTB2::wsj_1411::11037..11042::SAME	While
14	wsj_1411	11138..11145	Expansion.Conjunction		besides			11138..11145	PDTB2::wsj_1411::11138..11145::SAME	Besides
14	wsj_1411	11230..11241	Comparison.Concession.Arg1-as-denier		even though			11230..11241	PDTB2::wsj_1411::11230..11241::CHANGED	even though
14	wsj_1466	417..424	Expansion.Manner.Arg2-as-manner		without	ARGM-ADV	agree	417..424	PDTB3::wsj_1466::417..424::ADDED	Without
14	wsj_1466	486..488	Contingency.Condition.Arg2-as-cond		if	ARGM-ADV	agree	486..488	PDTB3::wsj_1466::486..488::ADDED	if
14	wsj_1466	644..647	Expansion.Conjunction		and			644..647	PDTB3::wsj_1466::644..647::ADDED	and
